symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2018-07-12 00:00:00+00:00,316.71,323.23,312.77,321.43,5721166,21.114,21.5486666667,20.8513333333,21.4286666667,85817490,0.0,1.0
TSLA,2018-07-13 00:00:00+00:00,318.87,319.58,309.25,315.58,5875770,21.258,21.3053333333,20.6166666667,21.0386666667,88136550,0.0,1.0
TSLA,2018-07-16 00:00:00+00:00,310.1,315.16,306.25,311.71,7818655,20.6733333333,21.0106666667,20.4166666667,20.7806666667,117279825,0.0,1.0
TSLA,2018-07-17 00:00:00+00:00,322.69,324.74,308.5,308.81,6996232,21.5126666667,21.6493333333,20.5666666667,20.5873333333,104943480,0.0,1.0
TSLA,2018-07-18 00:00:00+00:00,323.85,325.5,316.25,325.0,5624211,21.59,21.7,21.0833333333,21.6666666667,84363165,0.0,1.0
TSLA,2018-07-19 00:00:00+00:00,320.23,323.54,314.01,316.33,5915345,21.3486666667,21.5693333333,20.934,21.0886666667,88730175,0.0,1.0
TSLA,2018-07-20 00:00:00+00:00,313.58,323.24,311.71,321.23,5166547,20.9053333333,21.5493333333,20.7806666667,21.4153333333,77498205,0.0,1.0
TSLA,2018-07-23 00:00:00+00:00,303.2,305.5,292.86,301.84,10992947,20.2133333333,20.3666666667,19.524,20.1226666667,164894205,0.0,1.0
TSLA,2018-07-24 00:00:00+00:00,297.43,307.72,292.55,304.42,9590784,19.8286666667,20.5146666667,19.5033333333,20.2946666667,143861760,0.0,1.0
TSLA,2018-07-25 00:00:00+00:00,308.74,309.62,294.5,296.74,7094180,20.5826666667,20.6413333333,19.6333333333,19.7826666667,106412700,0.0,1.0
TSLA,2018-07-26 00:00:00+00:00,306.65,310.7,303.64,304.85,4630522,20.4433333333,20.7133333333,20.2426666667,20.3233333333,69457830,0.0,1.0
TSLA,2018-07-27 00:00:00+00:00,297.18,307.69,295.34,307.25,5703326,19.812,20.5126666667,19.6893333333,20.4833333333,85549890,0.0,1.0
TSLA,2018-07-30 00:00:00+00:00,290.17,296.1,286.13,295.9,6814072,19.3446666667,19.74,19.0753333333,19.7266666667,102211080,0.0,1.0
TSLA,2018-07-31 00:00:00+00:00,298.14,298.32,289.07,292.25,5076916,19.876,19.888,19.2713333333,19.4833333333,76153740,0.0,1.0
TSLA,2018-08-01 00:00:00+00:00,300.84,303.0,293.0,297.99,10129430,20.056,20.2,19.5333333333,19.866,151941450,0.0,1.0
TSLA,2018-08-02 00:00:00+00:00,349.54,349.99,323.16,328.44,23214962,23.3026666667,23.3326666667,21.544,21.896,348224430,0.0,1.0
TSLA,2018-08-03 00:00:00+00:00,348.17,355.0,342.53,347.81,13656486,23.2113333333,23.6666666667,22.8353333333,23.1873333333,204847290,0.0,1.0
TSLA,2018-08-06 00:00:00+00:00,341.99,354.98,341.82,345.46,8564331,22.7993333333,23.6653333333,22.788,23.0306666667,128464965,0.0,1.0
TSLA,2018-08-07 00:00:00+00:00,379.57,387.46,339.15,343.84,30875768,25.3046666667,25.8306666667,22.61,22.9226666667,463136520,0.0,1.0
TSLA,2018-08-08 00:00:00+00:00,370.34,382.64,367.12,369.09,24571163,24.6893333333,25.5093333333,24.4746666667,24.606,368567445,0.0,1.0
TSLA,2018-08-09 00:00:00+00:00,352.45,367.01,345.73,365.55,17183811,23.4966666667,24.4673333333,23.0486666667,24.37,257757165,0.0,1.0
TSLA,2018-08-10 00:00:00+00:00,355.49,360.0,346.0,354.0,11552044,23.6993333333,24.0,23.0666666667,23.6,173280660,0.0,1.0
TSLA,2018-08-13 00:00:00+00:00,356.41,363.19,349.02,361.13,10463881,23.7606666667,24.2126666667,23.268,24.0753333333,156958215,0.0,1.0
TSLA,2018-08-14 00:00:00+00:00,347.64,359.2,347.1,358.45,6986427,23.176,23.9466666667,23.14,23.8966666667,104796405,0.0,1.0
TSLA,2018-08-15 00:00:00+00:00,338.69,344.49,332.14,341.91,9101258,22.5793333333,22.966,22.1426666667,22.794,136518870,0.0,1.0
TSLA,2018-08-16 00:00:00+00:00,335.45,342.28,333.82,339.91,6064033,22.3633333333,22.8186666667,22.2546666667,22.6606666667,90960495,0.0,1.0
TSLA,2018-08-17 00:00:00+00:00,305.5,326.77,303.53,323.5,18958612,20.3666666667,21.7846666667,20.2353333333,21.5666666667,284379180,0.0,1.0
TSLA,2018-08-20 00:00:00+00:00,308.44,308.5,288.2,291.7,17402335,20.5626666667,20.5666666667,19.2133333333,19.4466666667,261035025,0.0,1.0
TSLA,2018-08-21 00:00:00+00:00,321.9,324.79,309.0,310.61,13172230,21.46,21.6526666667,20.6,20.7073333333,197583450,0.0,1.0
TSLA,2018-08-22 00:00:00+00:00,321.64,323.88,314.67,320.87,5945955,21.4426666667,21.592,20.978,21.3913333333,89189325,0.0,1.0
TSLA,2018-08-23 00:00:00+00:00,320.1,327.32,318.1,319.14,5147286,21.34,21.8213333333,21.2066666667,21.276,77209290,0.0,1.0
TSLA,2018-08-24 00:00:00+00:00,322.82,323.85,319.4,320.7,3602564,21.5213333333,21.59,21.2933333333,21.38,54038460,0.0,1.0
TSLA,2018-08-27 00:00:00+00:00,319.27,322.44,308.81,318.0,13079288,21.2846666667,21.496,20.5873333333,21.2,196189320,0.0,1.0
TSLA,2018-08-28 00:00:00+00:00,311.86,318.88,311.19,318.41,7649091,20.7906666667,21.2586666667,20.746,21.2273333333,114736365,0.0,1.0
TSLA,2018-08-29 00:00:00+00:00,305.01,311.85,303.69,310.27,7447392,20.334,20.79,20.246,20.6846666667,111710880,0.0,1.0
TSLA,2018-08-30 00:00:00+00:00,303.15,304.6,297.72,302.26,7216706,20.21,20.3066666667,19.848,20.1506666667,108250590,0.0,1.0
TSLA,2018-08-31 00:00:00+00:00,301.66,305.31,298.6,302.0,5375104,20.1106666667,20.354,19.9066666667,20.1333333333,80626560,0.0,1.0
TSLA,2018-09-04 00:00:00+00:00,288.95,298.19,288.0,296.94,8350469,19.2633333333,19.8793333333,19.2,19.796,125257035,0.0,1.0
TSLA,2018-09-05 00:00:00+00:00,280.74,286.78,277.18,285.05,7720821,18.716,19.1186666667,18.4786666667,19.0033333333,115812315,0.0,1.0
TSLA,2018-09-06 00:00:00+00:00,280.95,291.17,278.88,284.8,7480760,18.73,19.4113333333,18.592,18.9866666667,112211400,0.0,1.0
TSLA,2018-09-07 00:00:00+00:00,263.24,268.35,252.25,260.1,22491931,17.5493333333,17.89,16.8166666667,17.34,337378965,0.0,1.0
TSLA,2018-09-10 00:00:00+00:00,285.5,286.03,271.0,273.26,14283528,19.0333333333,19.0686666667,18.0666666667,18.2173333333,214252920,0.0,1.0
TSLA,2018-09-11 00:00:00+00:00,279.44,282.0,273.55,279.47,9169989,18.6293333333,18.8,18.2366666667,18.6313333333,137549835,0.0,1.0
TSLA,2018-09-12 00:00:00+00:00,290.54,292.5,278.65,281.44,10015427,19.3693333333,19.5,18.5766666667,18.7626666667,150231405,0.0,1.0
TSLA,2018-09-13 00:00:00+00:00,289.46,295.0,285.18,288.02,6340336,19.2973333333,19.6666666667,19.012,19.2013333333,95105040,0.0,1.0
